"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Respondent Id"
"517","API dan IAS","KNO","3","TOILET,P5 WANITA","KNO-TW-P05","5","Fasilitas toiletnya berfungsi
Petugasnya ramah dan sopan
Toiletnya bersih","5","5","5","fddc9582-fd0c-4861-b69c-5a0f73743ce9"
"518","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Pelayanan sangat bagus dan toilet nya bersih dan wangi","5","5","5","4a9d4794-7f0c-4a32-91b5-82a7a3d2adbe"
"519","API dan IAS","KNO","3","TOILET,P5 PRIA","KNO-TP-P05","5","Toilet bersih, fasilitas baik dan berfungsi
Petugas ramah dan sopan","5","5","5","ebfeb52a-66ab-4270-8ff3-2b7323f07825"
"520","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Pelayanan sangat bagus dan toiletnya bersih serta wangi","5","5","5","e3069cd8-2d37-4893-b4b8-6ae34461d10c"
"521","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Petugas nya ramah, dan toilet ny bersih","5","5","5","16d1baf9-b329-4137-b88b-0bdcc3bd7346"
"522","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Fasilitas di toilet sangat lengkap dan memadai sehingga kami para pengunjung sangat mudah dan tercukupi kebutuhan saat ditoilet, dan juga petugas toilet sangat ramah tamah dan mengedukasi para pengunjung yang tidak bisa atau belum tahu tentang cara pemakaiannya.","5","5","5","668ae47c-5d0b-423e-9f0a-4ecb434db015"
"523","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Pelayanannya sangat bagus dan toiletnya bersih wangi","5","5","5","e800efe4-0208-4452-bdd4-3d6febe93a02"
"524","API dan IAS","KNO","3","TOILET,D4 WANITA","KNO-TW-D04","5","Tetap mempertahan kan kebersihan nya ya","5","5","5","1e4c070f-b3f5-4e6c-bae3-afcbfe7965b2"
"525","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Baik dan berfungsi fasilitas","5","5","5","c0ab56a2-431e-4a0b-a801-7a12726dda3a"
"526","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5","Toilet nya sangat bersih dan petugas nya ramah","5","5","5","c2d7dca1-4ea6-4f13-8d0c-e9b752877d24"
"527","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Fasilitas lengkap dan bersih","5","5","5","e2be8ba6-856f-4c04-a273-063cdcb88063"
"528","API dan IAS","KNO","3","TOILET,P3 WANITA","KNO-TW-P03","4","Baik dan berfungsi","5","5","5","28dc2e1d-2d37-4e4a-af1a-25a859f7d28d"
"529","API dan IAS","KNO","3","TOILET,P1 WANITA","KNO-TW-P01","5","Toilet nya Bersih dan wangi","4","5","5","c587f570-9a87-4b8a-925b-d3b2b7973981"
"530","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","Petugas ramah dan toilet nya harum","5","5","5","fe97e343-5af0-486d-b79c-041030678212"
"531","API dan IAS","KNO","3","TOILET,P6 WANITA","KNO-TW-P06","5","Fasilitas baik dn berfungsi,,petugasnya ramah","5","5","5","ba19e346-2928-4ffe-8b37-9c68cdecfa05"
"532","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Petugasnya sangat ramah dan toiletnya juga bersih dah wangi","5","5","5","cb28eb86-2269-4833-921c-290a0b3ed121"
"533","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Lantai keramik nya terang sebaiknya bisa diganti dengan keramik yang gelap","5","5","5","4300b703-cbeb-44ef-9c53-8f7cf7696178"
"534","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","5S nya sudah berjalan, toilet bersih,, tinggal fasilitas di toilet nya, yaitu digital survey nya kurang efektif karena menggunakan barcode","5","5","5","1289bad5-be46-424f-9a6f-6e2b685d377a"
"535","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Baik","5","5","5","53975405-7736-4bab-9666-5f352b110f64"
"536","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","4","Sangat bagus","5","5","5","8882082b-26cf-41df-ae98-ea948f8f3718"
"537","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5","Toilet wangi, bersih dan petugas ny sangat ramah","5","5","5","818ef930-9233-4c77-864f-d07e0eeebd04"
"538","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","toilet nya bagus, bersih, fasilitas lengkap, petugas nya ramah","5","5","5","1f52896c-3a7d-481a-ba5a-bf6fa1cf0838"
"539","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Petugasnya sangat ramah dan toiletnya juga wangi dan bersih","5","5","5","d0a5ea04-ffb3-421e-8863-d23fec2ecc18"
"540","API dan IAS","KNO","3","TOILET,P1 WANITA","KNO-TW-P01","5","Toilet bersih, wangi dan petugasnya ramah","5","5","5","ed606054-7e35-4b0e-ac46-b8b4bd347523"
"541","API dan IAS","KNO","3","TOILET,P3 WANITA","KNO-TW-P03","5","Toiletnya bersih dan petugasnya ramah banget","5","5","5","2daee63f-d6fd-4cbc-87dc-b992a7b51a5d"
"542","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","Toilet bersih, wangi dan petugasnya ramah","5","5","5","0381131c-f1bb-4469-b395-5f1c2b8d92a8"
"543","API dan IAS","KNO","3","TOILET,P1 WANITA","KNO-TW-P01","5","Toilet bersih, wangi, dan petugas nya ramah","5","5","5","d2ff1160-2254-4f31-8abb-542abdce4d30"
"544","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5",,"5","5","5","ebcbe5dd-65ca-48bb-8863-1a7050dbb1c2"
"545","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Toilet bersih dan petugas bersih","5","5","5","6d05916e-2bf6-4f0d-b86a-b60dbd0c8578"
"546","API dan IAS","KNO","3","TOILET,P6 WANITA","KNO-TW-P06","5","Petugas nya ramah dan toilet nya wangi","5","5","5","c4916f52-79e5-4183-8500-e89307bb8b29"
"547","API dan IAS","KNO","3","TOILET,P6 PRIA","KNO-TP-P06","5","Toilet nya bersih","5","5","5","6c374998-b53a-4561-9611-229fab95c052"
"548","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5",,"5","5","5","99f058f5-3013-4fbd-8dc9-953109b6ebf2"
"549","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Mantull","5","5","5","d502a9b0-e43e-426c-8f8c-c644524dfaf1"
"550","API dan IAS","KNO","3","TOILET,P1 WANITA","KNO-TW-P01","5","Toilet nya bersih dan petugasnya ramah","5","5","5","66d1b575-0625-4a46-a423-9a4d6e63b347"
"551","API dan IAS","KNO","3","TOILET,P6 PRIA","KNO-TP-P06","5","Fasilitas toilet baik dan berfungsi semuanya","5","5","5","0aa114c8-4ccd-4398-9013-f19b2547479f"
"552","API dan IAS","KNO","3","TOILET,P6 WANITA","KNO-TW-P06","5","Fasilitas toilet baik dan berfungsi","5","5","5","23153dfc-269c-406f-b683-ed2c9635cc41"
"553","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-6 PRIA","API&IAS-TOILET-CGK T2-BL E6 TP","3","Mohon sabun dan tisu di isi","5","3","4","730f2192-abfc-418c-a155-c22ea1603d73"
"554","API dan IAS","YIA","4","TOILET BOARIDNG ROOM BARAT PRIA","YIA-TOI-BR-B-P","5","-","5","4","5","da45072f-2b22-4a55-98dd-0d3e5a4de68b"
"555","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Fasilitas toilet berfungsi dengan baik","5","5","5","154791fc-b1c7-4d7b-a65e-42d7d0c237d5"
"556","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5","Pelayanannya baik, dan aroma toilet sangat wangi","5","5","5","f10daf4c-c6c2-4ac5-9d57-cc5ba1b1fa2a"
"557","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","4","Toilet bersih","4","4","4","92262dca-751a-43f7-85cf-a934cf429551"
"558","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Petugas nya ramah dan toilet nya bersih","5","5","5","b36f276b-236e-4ece-840b-97c5a88d85cb"
"559","API dan IAS","KNO","3","TOILET,P6 PRIA","KNO-TP-P06","5","Fasilitas toilet berfungsi dengan baik dan toilet bersih dan kering","5","5","5","8a76b7d5-cda9-43cb-b454-e2bef0cb7260"
"560","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Pertahankan kualitas terbaik","5","5","5","22e9174f-fab3-4a95-b077-72ba2c1fd074"
"561","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Sudah bagus","5","5","5","02bda443-346b-4939-9ccb-219db13e5e21"
"562","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","Toilet nya wangi dan petugasnya ramah","5","5","5","caedabdf-e318-4bd1-953f-7b1822cfeb56"
"563","API dan IAS","KNO","3","TOILET,A3 PRIA","KNO-TP-A03","5","Sangat puas","5","5","5","754b479f-3b06-49d8-aff7-a38899f1339d"
"564","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Fasilitas toilet berfungsi dengan baik dan toilet bersih dan kering","5","5","5","2f3ecd32-492b-496b-a028-605412310d8e"
"565","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Bagus","5","5","5","d65630e7-d308-4699-a83b-59f278e04a68"
"566","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Sudah bersih, dan terus dijaga agar tetap kering","5","5","5","542aae74-7257-42b4-9443-c88e2cfcfb3e"
"567","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Favorit Toilet","5","5","5","4b75ce83-d389-481c-aa94-6847298b2d35"
"568","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-2 PRIA","B. BL2. P","5","Melarang orang yg buang2 air di lantai toilet agar tidak becek","5","5","5","a032340e-8029-474e-86ec-9b07887be77c"
"569","API dan IAS","DPS","2","TOILET KEDATANGAN DOMESTIK PICKUPZONE TIMUR ( PENJEMPUTAN ) (PRIA)","DPS-TOILET-JPO-P","4",,"5","5","5","39528484-078e-4bce-9cfe-bd22a55fd762"
"570","API dan IAS","KNO","3","TOILET,D4 PRIA","KNO-TP-D04","5",,"5","5","5","1bdc96de-85c9-4826-9412-99c543b56572"
"571","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","Toilet nya bersih wangi petugasnya sangat ramah dan sangat mengedukasi","5","5","5","11e96cb9-cb31-4a0b-a790-8f00d18089ad"
"572","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","Toilet bagus dan bersih","5","5","5","713d25c2-0e09-4e16-8915-7d0b22d508d9"
"573","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","Toilet nya bersih,wangi,petugasnya ramah","5","5","5","689c1a92-cba5-4a60-aabf-b4e7e23714bc"
"574","API dan IAS","KNO","3","TOILET,P6 PRIA","KNO-TP-P06","5","Toilet bersih","5","5","5","7e147998-d427-40ce-8e9a-a976879f4c44"
"575","API dan IAS","YIA","4","TOILET DIFABLE ARRIVAL 1","YIA-TOIDIF.-ARR1","4","Bagus bersih","4","4","4","e9a62624-fa15-4652-b3f4-69e756d86069"
"576","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-6 PRIA","B. BL6. P","5","Baik sekali","5","5","5","4e92988c-bf1e-4bfc-b6a6-21815c6fefe5"
"577","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-6 PRIA","B. BL6. P","5","Sangat baik, pegawai sangat friendly","5","5","5","b524b7f8-0bc4-4654-ba8f-fb54eb3a02af"
"578","API dan IAS","SUB","4","T2,B3,PRIA","SUB-TOILE-T2-B3,PRIA","5","Untuk fasilitas yg ada di toilet kurang hand dryer, utk menghemat tisu","5","5","5","9d6f0c2d-d778-497a-9aa4-513325ca81cc"
"579","API dan IAS","KNO","3","TOILET,P3 WANITA","KNO-TW-P03","5","Pelayanan sangat baik","5","5","5","f14cab56-1988-4bde-9e88-535ae386b819"
"580","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN WANITA","B. HCI. W","2","tgl 10 oct 9:30 toilet cewe kotor lantainya basah semua. tempat sampah penuh. petugasnya cuman ngaca sama ngobrol","2","3","3","4c3532e5-20e5-41cb-a752-8d7c22a42747"
"581","API dan IAS","YIA","4","TOILET ARRIVAL WANITA","YIA-TOI-ARR-W","5","Berikan keset toilet","5","5","5","f6f26d24-447d-4ff9-886b-ec4e61635d88"
"582","API dan IAS","YIA","4","TOILET ARRIVAL WANITA","YIA-TOI-ARR-W","4","Sudah baik","4","4","4","abdc8d6a-9371-4a77-9629-4c098c1519f9"
"583","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-6 PRIA","B. BL6. P","5","Sangat memuaskan dan bersih","5","5","5","68d47add-891d-4435-94af-ff367ef672c1"
"584","API dan IAS","DPS","2","TOILET KEDATANGAN INTERNASIONAL MLCP INTER LT1 (WANITA)","DPS-TOILET-INT.MLCP1-W","5","Toilet lantai 1 wanita bersih dan wangi, tetap dijaga kebersihan nya selalu teman-teman!","5","5","5","64de9e33-e061-4d75-b419-6d58f76f6db1"
"585","API dan IAS","SUB","4","T1,KEDATANGAN 1B/1C TANGGA TRANSIT","SUB-TOILE-T1-KEDATANGAN 1B/1C TAN","5","Pertahankan","5","5","5","a74bc4d3-086c-4180-89cd-3cdc11e99a55"
"586","API dan IAS","CGK T2","1","TOILET T2D - CHECKIN PRIA","API&IAS-TOILET-CGK T2-HCI D TP","5","Mantap","5","5","5","5831297a-7dd0-43df-9659-8439595610ac"
"587","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR BEFORE SCP WANITA","B. SA. W","5","Toiletnya bagus drpd toilet di terminal 3","5","5","5","808b718d-a974-4407-a841-aeb9c94ff1f9"
"588","API dan IAS","KNO","3","TOILET,P6 WANITA","KNO-TW-P06","5","Tetap dipertahankan","5","5","5","3f8b02b8-901d-42a4-abf5-1f670e033dc3"
"589","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","toiletnyawangi mangga","5","5","5","8f6ad657-1996-494b-a44a-6fefcbf3d999"
"590","API dan IAS","CGK T1","1","TOILET T1B - BAGGAGE CLAIM PRIA","B.HCO.P","5","Keren dan lengkap
Pokoke top tenan toilet umumnya","5","5","5","6582ef2b-6f11-42ac-ad65-83e3e89139d6"
"591","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5",,"5","5","5","530a81ad-ce32-487e-93d1-feac7e61fcd0"
"592","API dan IAS","CGK T1","1","TOILET T1B - BAGGAGE CLAIM PRIA","B.HCO.P","5","sangat nyaman","5","5","5","8eab8fe9-c1a0-4997-90e3-3a3666aac41e"
"593","API dan IAS","SUB","4","T1,GATE 6 CONCOURSE 7,PRIA","SUB-TOILE-T1-GATE 6 CONCOURSE 7,P","1","WC cuma 3 pcs sehinggu harus antri lama.","5","5","1","55c76462-c30d-4c35-878b-d317cfc51725"
"594","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Bersih","5","5","5","3d11d4ab-9caa-4d1b-af65-dd9c96483888"
"595","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","Pekerja sangat ramah dan sangat membantu","5","5","5","c8146ada-e953-4719-9b31-d598b21ec707"
"596","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5","Tidak ada","5","5","5","db4559b8-b979-4610-820e-7059c8a90223"
"597","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-6 WANITA","A.BL6.W","5","Wangi bersih dan petugas ramah","5","5","5","d695d328-ef1e-4856-ab04-ab456d0e5517"
"598","API dan IAS","SUB","4","T1,GATE 10 CONCOURSE 4,FAMILY","SUB-TOILE-T1-GATE 10 CONCOURSE 4,","5","Terima kasih atas pelayanan nya saya liat petugas nya juga sigap membersihkan dan juga ramah..pribadi saya aprisiasi","5","5","5","d15da1b7-5351-43ff-a4db-ca932993dd22"
"599","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-4 PRIA","API&IAS-TOILET-CGK T2-BL D4 TP","5","Bersih dan harum","5","5","5","b4d298af-da3a-4360-a5be-ef35a7b7d19e"
"600","API dan IAS","KNO","3","TOILET,A5 WANITA","KNO-TW-A05","5",,"5","5","5","6abed44e-9fbd-45c3-979e-3295faf6adb7"
"601","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5",,"5","5","5","f889afe0-61f1-471e-8bae-5f8b5a4c679c"
"602","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5",,"5","5","5","f1ff7a39-69dc-45f3-9e4c-609062d6df8f"
"603","API dan IAS","SUB","4","T2,A2,PRIA","SUB-TOILE-T2-A2,PRIA","5","Luar biasa toilet' sangat bersih petugas pun sangat ramah TOP benget","5","5","5","61957873-3995-40a0-a21d-4c35ff6b938c"
"604","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Mantap pertahankan","5","5","5","e2fc3b32-8e21-4323-b7bb-ac597fe1472b"
"605","API dan IAS","CGK T2","1","TOILET T2E - ARRIVAL CORRIDOR WANITA","API&IAS-TOILET-CGK T2-CCA E TW","5","Tempat sampah perlu diremajakan.","5","5","5","1bebb3b2-4d65-4abb-a602-9802e1fd5430"
"606","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-7 PRIA","API&IAS-TOILET-CGK T2-BL E7 TP","5",,"5","5","5","0e041efa-8ba8-4303-b60b-66bf51930864"
"607","API dan IAS","CGK T2","1","TOILET T2D - CHECKIN PRIA","API&IAS-TOILET-CGK T2-HCI D TP","5","Dipertahankan","5","5","5","0c8afd6e-2fea-4b92-9275-716e77590c4d"
"608","API dan IAS","SUB","4","T1,GATE 3,WANITA","SUB-TOILE-T1-GATE 3,WANITA","5","All good","5","5","5","e951a973-e280-43fe-bc7c-6bdf4cb420ed"
"609","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5",,"5","5","5","6db8427f-74ca-43c9-a015-f5c03c14e643"
"610","API dan IAS","KNO","3","TOILET,A3 WANITA","KNO-TW-A03","5","Baik","5","5","5","4285504e-a3ce-4e3c-ba2c-37d5d703f24d"
"611","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5",,"5","5","5","9bc8f4f0-dcda-4fdf-b9e6-a5103640f867"
"612","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5",,"5","5","5","adca30fa-3324-44fa-b648-67fd0c076470"
"613","API dan IAS","CGK T1","1","TOILET T1A - CORRIDOR AFTER SCP PRIA","CCD. A1. P","4","Pertahankan kebersihannya","4","4","4","3cd980be-4eb9-4770-82a4-0be5a12af416"
"614","API dan IAS","SUB","4","T2,A7,PRIA","SUB-TOILE-T2-A7,PRIA","5","Toiletnya bersih, kering,harum dan petugasnya ramah & sopan","5","5","5","ead85753-4efb-497f-abcb-32c80a4c5124"
"615","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-5 PRIA","B. BL5. P","5","Bersih wangi toilet ny. Saya sangat puas","5","5","5","515c7408-8f7d-4aa3-b323-b669a723d275"
"616","API dan IAS","SUB","4","T1,GATE 1,PRIA","SUB-TOILE-T1-GATE 1,PRIA","5",,"5","5","5","c1a5a660-d411-4833-b3b8-82b637c1599b"
"617","API dan IAS","CGK T1","1","TOILET T1A - BAGGAGE CLAIM PRIA","A.CCAT.P","5","Staff a.n Abu sangat ramah dan menjaga kebersihan Musholla Bandara dengan Baik 👍","5","5","5","ec1efb9f-3a4f-46e6-88e1-ea402f670c83"
"618","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","5","Toilet bersih dan wangi","5","5","5","355fb1c9-f945-4f27-adae-b505be0d958e"
"619","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","4","Bagus","4","4","4","6d0bbe62-8e92-4507-bf6d-f8b04b24f70c"
"620","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Sangat bersih","5","5","5","ef1ba40b-09da-4879-a7f9-6e8739d9f2c3"
"621","API dan IAS","KNO","3","TOILET,P5 PRIA","KNO-TP-P05","1","Penjaga tidak ramah dan cuek","1","1","1","29e94f08-fb25-4a02-80b1-5b1effdfebb8"
"622","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","Sangat ramah dan baik bersih dan sangat nyaman","5","5","5","76272387-c55c-4d20-9260-4d30b653aea2"
"623","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","very clean","5","5","5","6301cd3c-9af5-4e2e-9f78-80df016a18e8"
"624","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","Toilet nya bersih, harum dan petugas nya ramah terimakasih KNO","5","5","5","7f45126c-0fa6-4423-a2cc-4a8d2eb62044"
"625","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Perbanyak karyawan seperti ini","5","5","5","aa03ef29-569d-4076-a452-31a7e39cf6ee"
"626","API dan IAS","SUB","4","T2,A3,DIFABEL","SUB-TOILE-T2-A3,DIFABEL","5","Baik","5","5","5","81aad550-538a-4dfb-a2c3-1eb97673dd2f"
"627","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5","Great","5","5","5","781ae48c-21ea-4e04-bd1e-a64a5c0f459a"
"628","API dan IAS","KNO","3","TOILET,P6 PRIA","KNO-TP-P06","5",,"5","5","5","26b5317e-9e5b-4411-8526-667ca0d7ded8"
"629","API dan IAS","KNO","3","TOILET,P5 WANITA","KNO-TW-P05","5","Bersih dan petugasnya ramah","5","5","5","82a94002-0a40-45f2-9723-b9abc3f3f309"
"630","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Good, i like this","4","5","4","78f569e6-a96d-410a-9b0c-14922a201e07"
"631","API dan IAS","KNO","3","TOILET,D4 PRIA","KNO-TP-D04","5","Sangat ramah bertugas nya dan kebersihan sangat puas","5","4","4","4a5fb152-dc07-490f-8c7a-a7c43598c4d2"
"632","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5","Mantap","5","5","5","c03b381f-3361-40d4-a6c8-9372d6d5954a"
"633","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","5","Very clean👍🏻","5","5","5","e35e855b-5a34-4b89-a5de-cf2d32172ecd"
"634","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","5","Bagus dan bersih","5","5","5","4d019924-0e47-4159-997b-6769b82a016d"
"635","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","4","Good","5","5","4","6d8a0d10-a921-42c4-93ca-8eedcade991a"
"636","API dan IAS","KNO","3","TOILET,P5 PRIA","KNO-TP-P05","5",,"5","5","5","10ae3205-99ce-454d-abc4-d72f3706e298"
"637","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-6 PRIA","API&IAS-TOILET-CGK T2-BL D6 TP","5","Staf sangat ramah","5","4","4","b0f2106c-3e1c-41b9-a6fe-554093019d88"
"638","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5","zuper DAHSYAT bersama Bang NAJAMUDIN","5","5","5","fc296b71-86ea-4696-916a-49a03bb96c03"
"639","API dan IAS","DPS","2","TOILET KEBERANGKATAN INTERNASIONAL ISLAND E TIMUR (DIFABLE)","DPS-TOILET-E.TIMUR-DIFABLE","5","Sangat puas","5","5","5","a623b247-4347-4f26-a10d-6c64bf1f97ac"
"640","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-2 WANITA","A.BL2.W","5",,"5","5","5","ebd5cf3e-a470-493a-8236-ee0f6ee0a68e"
"641","API dan IAS","CGK T1","1","TOILET T1A - BAGGAGE CLAIM PRIA","A.CCAT.P","2","Kalau bisa jumlah toilet wanita ditambah dan tempat peny","3","4","2","ad51783f-1c34-4ca4-bc75-66c96b016af1"
"642","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-2 PRIA","API&IAS-TOILET-CGK T2-BL E2 TP","3","Kurang pelayanan","5","5","5","e718c59c-cce2-4c20-988e-85e30f0ed17a"
"643","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-6 PRIA","API&IAS-TOILET-CGK T2-BL D6 TP","5","Tetap ramah dan jaga kebersihan","5","5","5","6ebcfd05-d5fb-4ce5-afd4-17b2eec8376d"
"644","API dan IAS","DPS","2","TOILET KEDATANGAN INTERNASIONAL IMIGRASI TIMUR (PRIA + DIFABLE)","DPS-TOILET-1D-P","5","Harus sering dicek tentang kebersihan","5","4","5","f3314d41-8e33-4382-9a76-1a92cb7c322f"
"645","API dan IAS","CGK T1","1","TOILET T1A - CHECKIN WANITA","A. HCI. W","5","Bagus","5","5","5","82ac8c79-6138-418f-adb6-7358025433a0"
"646","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-2 PRIA","API&IAS-TOILET-CGK T2-BL D2 TP","1","Jorok terus saya nanya ini kenapa air nya gak bisa nyala malah saya yang di marah” in tolong ini petugasnya","1","2","1","102061b9-670c-48e5-ba14-753c23146892"
"647","API dan IAS","CGK T1","1","TOILET T1A - CURBSIDE WANITA","A. PCI. W","1","Petugas toilet wanita 
nyah judes banget kga ada senyum sama sekali, kaga seperti yang lain.","1","5","5","c8174a7f-6e29-48f9-92d8-59f071c16420"
"648","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-4 PRIA","B. BL4. P","5","Clean, and good smell","5","5","5","1608b9c1-ec68-498c-bbb3-be53dcc56166"
"649","API dan IAS","KNO","3","TOILET,PA3 DIFABEL","KNO-DF-A03","5",,"5","5","5","454c1406-7953-4625-a4dc-94fe2eba83c9"
"650","API dan IAS","CGK T2","1","TOILET T2D - CURBSIDE KEBERANGKATAN WANITA","API&IAS-TOILET-CGK T2-PCI D TW","5",,"5","5","5","5d4994a8-09a2-4eef-8df9-8465ff6c8fdf"
"651","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW","5",,"5","5","5","f09abceb-2406-4d0c-92e3-2b6727ba6280"
"652","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-3 PRIA","B. BL3. P","5","Menjaga higenus yg lbh prima","5","5","5","00e5e65a-91c3-419e-9ee0-6bff290977d7"
"653","API dan IAS","CGK T1","1","TOILET T1A - BAGGAGE CLAIM PRIA","A.CCAT.P","3","Sebaiknya diperjelas antara batas suci praying room dg toilet..soalnya banyak pengunjung yg make sepatu di area yg tertulis batas suci...terima kasih","5","5","3","c3144997-bc0e-422b-8364-342437e3798a"
